,Unnamed: 0,회사명,거래소코드,회계년도,자산(*)(IFRS연결),자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS),당기순이익(손실)(IFRS연결),당기순이익(손실)(IFRS),총자본증가율,영업이익증가율,순이익증가율
147,147,(주)더 미동,161570,16-Dec,53455517,54563781.0,-6246784,-4862144.0,-3098362,-2465229.0,,,
148,148,(주)더 미동,161570,17-Dec,47059771,53589919.0,-3853114,102959.0,-3582199,319497.0,-11.96461349,38.31843713501219,-15.615896399452357
149,149,(주)더블유게임즈,192080,16-Dec,436960921,392720415.0,44859615,45243941.0,48718418,48839781.0,,,
150,150,(주)더블유게임즈,192080,17-Dec,997179792,419734962.0,81019758,59485915.0,35641749,35364189.0,128.2080031,80.60734136929173,-26.841325184245513
151,151,(주)더블유아이,73570,16-Dec,40535256,34344539.0,-4957238,-4957238.0,-11298279,-11298279.0,,,
152,152,(주)더블유아이,73570,17-Dec,30613446,26873064.0,-4945079,-3470731.0,-10843899,-9799765.0,-24.47698862,0.24527771311363303,4.02167445148062
153,153,(주)덕신하우징,90410,16-Dec,111233520,110943056.0,-10647746,-10722676.0,-12189253,-12548247.0,,,
154,154,(주)덕신하우징,90410,17-Dec,106622625,104727146.0,8124597,6391199.0,8714097,6256096.0,-4.145238773,231.05568190028382,239.87970296864955
155,155,(주)데이타솔루션,263800,16-Dec,39622635,39622635.0,3938705,3938705.0,3054257,3054257.0,,,
156,156,(주)데이타솔루션,263800,17-Dec,62046031,62046031.0,557186,557186.0,885540,885540.0,56.59238968,-85.85357369998515,-71.00636914313367
157,157,(주)데코앤이,17680,16-Dec,53034331,50945700.0,-8128229,851483.0,-8678103,-13905209.0,,,
158,158,(주)데코앤이,17680,17-Dec,56039766,46675197.0,-9783131,-1850451.0,-21293121,-23112588.0,5.666961275,-20.359933264675494,-145.36607827770652
159,159,(주)덱스터스튜디오,206560,16-Dec,85681521,85748874.0,2407177,4117776.0,5131099,5069985.0,,,
160,160,(주)덱스터스튜디오,206560,17-Dec,89532234,89108752.0,-21867728,-21977293.0,-34180578,-34407934.0,4.494216437,-1008.4387230353232,-766.145361841586
161,161,(주)덴티스,261200,16-Dec,0,,0,,0,,,0.0,0.0
162,162,(주)덴티스,261200,17-Dec,0,,0,,0,,,0.0,0.0
163,163,(주)동구바이오제약,6620,16-Dec,65310825,65310815.0,10564761,10583453.0,10912838,10922787.0,,,
164,164,(주)동구바이오제약,6620,17-Dec,75593405,75593396.0,13326485,13326485.0,10943341,10955175.0,15.74406693,26.140903708091457,0.2795148246496466
165,165,(주)동국알앤에스,75970,16-Dec,125154129,109296336.0,3597155,1709652.0,1917566,972532.0,,,
166,166,(주)동국알앤에스,75970,17-Dec,126594526,108264487.0,3774035,2672777.0,2587788,1721370.0,1.150898505,4.917219302476541,34.951704400265754
167,167,(주)동국에스엔씨,100130,16-Dec,434605673,321209828.0,25597158,21758767.0,15957878,19194152.0,,,
168,168,(주)동국에스엔씨,100130,17-Dec,438572485,320888283.0,11250185,10948684.0,6172981,8994399.0,0.912738201,-56.04908560551918,-61.31703099873304
169,169,(주)동방선기,99410,16-Dec,42231299,42021052.0,1796851,1792413.0,-2271265,-2095537.0,,,
170,170,(주)동방선기,99410,17-Dec,35060915,35060915.0,-667105,-667105.0,-3685002,-3685002.0,-16.97883837,-137.1263393570196,-62.24447609592012
171,171,(주)동성화인텍,33500,16-Dec,280043161,280905652.0,13342349,16690261.0,8668683,12406947.0,,,
172,172,(주)동성화인텍,33500,17-Dec,223987030,220559176.0,-25196806,-21017198.0,-32196447,-38801603.0,-20.01696124,-288.84835046662323,-471.41105517412507
173,173,(주)동아엘텍,88130,16-Dec,201591557,126614441.0,33629732,10085954.0,31659042,9854721.0,,,
174,174,(주)동아엘텍,88130,17-Dec,246934067,136272556.0,27518745,12125919.0,15046550,18797358.0,22.49226638,-18.171381799890646,-52.473135478957325
175,175,(주)동양에스텍,60380,16-Dec,120249193,101171708.0,3896794,2923324.0,4153758,4365789.0,,,
176,176,(주)동양에스텍,60380,17-Dec,124977099,104369971.0,2865397,2258069.0,3266425,3167043.0,3.931756947,-26.46783484064079,-21.362173723168272
177,177,(주)동우팜투테이블,88910,16-Dec,173623656,173623656.0,9708484,9708484.0,12948749,12948749.0,,,
178,178,(주)동우팜투테이블,88910,17-Dec,200503429,200503429.0,16841962,16841962.0,17506765,17506765.0,15.48163057,73.47674466991963,35.200435192619764
179,179,(주)동운아나텍,94170,16-Dec,42756175,42756175.0,1467793,1467793.0,1331763,1331763.0,,,
180,180,(주)동운아나텍,94170,17-Dec,42933844,42933844.0,-1799001,-1799001.0,-3123416,-3123416.0,0.415539978,-222.56503471538562,-334.53242055831254
181,181,(주)동원개발,13120,16-Dec,654000395,654000395.0,131149315,131149315.0,97981850,97981850.0,,,
182,182,(주)동원개발,13120,17-Dec,703630959,703630959.0,143040410,143040410.0,100618005,100618005.0,7.58876667,9.066837291525312,2.6904523643919767
183,183,(주)동일기연,32960,16-Dec,65783269,66980452.0,1082478,1638298.0,5318183,5774504.0,,,
184,184,(주)동일기연,32960,17-Dec,72003645,70656416.0,2387315,3062006.0,7272078,4769933.0,9.455863314,120.54166458810249,36.739897818484245
185,185,(주)동진쎄미켐,5290,16-Dec,657591755,566293245.0,45404003,22075237.0,26377438,18611660.0,,,
186,186,(주)동진쎄미켐,5290,17-Dec,667169455,567261062.0,71904939,53357193.0,44996646,37822419.0,1.456481157,58.36695940664086,70.5876287151163
187,187,(주)두산테스나,131970,16-Dec,78236596,78236596.0,-1410015,-1410015.0,739889,739889.0,,,
188,188,(주)두산테스나,131970,17-Dec,96222618,96222618.0,9865042,9865042.0,8992438,8992438.0,22.98926963,799.6409258057539,1115.3766308189472
189,189,(주)듀오백,73190,16-Dec,38094678,37911685.0,-5073348,-4979221.0,-5516585,-6232957.0,,,
190,190,(주)듀오백,73190,17-Dec,39279572,38777381.0,580033,719444.0,1330283,1144419.0,3.110392481,974.6654069682241,514.6925879681241
191,191,(주)드래곤플라이,30350,16-Dec,67297051,67353254.0,1572232,1575388.0,-300982,-315661.0,,,
192,192,(주)드래곤플라이,30350,17-Dec,50306246,50306246.0,-5496502,-5496502.0,-9731229,-9731229.0,-25.24747333,-449.598659739784,-3133.1597902864623
193,193,(주)드림시큐리티,203650,16-Dec,0,,0,,0,,,0.0,0.0
194,194,(주)드림시큐리티,203650,17-Dec,24242344,21837665.0,1083567,379072.0,-1595965,-2226331.0,inf,0.0,0.0
