회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),재고자산(*)(IFRS연결),매출액(수익)(*)(IFRS),재고자산(*)(IFRS),재고자산회전률
(주)루멘스,38060,16-Dec,402840610,74376147,349411876,62112973,5.416260807
(주)루멘스,38060,17-Dec,361567289,77640725,293386042,51613675,4.656928294
(주)루트로닉,85370,16-Dec,84496686,21971342,81033015,20492381,3.845768092
(주)루트로닉,85370,17-Dec,85772314,25803372,80153135,23957625,3.324073846
(주)룽투코리아,60240,16-Dec,71454495,82849,56370155,0,862.4665959
(주)룽투코리아,60240,17-Dec,52432864,0,39011730,0,#DIV/0!
(주)리노스,39980,16-Dec,100299628,43148491,96635024,42382841,2.324522264
(주)리노스,39980,17-Dec,101491526,42454120,89707798,41538863,2.390616647
(주)리더스코스메틱,16100,16-Dec,181307216,26524345,114166773,18359145,6.835502102
(주)리더스코스메틱,16100,17-Dec,139934810,23248001,65416964,15359303,6.019219029
(주)리드,197210,16-Dec,35384906,1227328,35359539,1227328,28.83084717
(주)리드,197210,17-Dec,37357618,0,37357618,0,#DIV/0!
(주)리드코프,12700,16-Dec,438470616,4075470,376994270,4075470,107.5877423
(주)리드코프,12700,17-Dec,442470050,1035087,371171513,1035087,427.4713623
(주)링네트,42500,16-Dec,128940792,2926504,125794858,2707397,44.0596671
(주)링네트,42500,17-Dec,148506989,3706247,146033757,3093748,40.06937179
(주)링크제니시스,219420,16-Dec,10194510,0,10194510,0,#DIV/0!
(주)링크제니시스,219420,17-Dec,11793696,25568,11793696,25568,461.2678348
(주)마이크로컨텍솔루션,98120,16-Dec,27223309,4826410,25634601,4266371,5.640488272
(주)마이크로컨텍솔루션,98120,17-Dec,27006640,3585397,25294173,3277122,7.532398783
(주)마이크로프랜드,147760,16-Dec,44775162,14782474,44775162,14782474,3.028935617
(주)마이크로프랜드,147760,17-Dec,50189558,18326137,50189558,18326137,2.738687264
(주)마크로젠,38290,16-Dec,91113058,14421180,67660472,10880101,6.318002965
(주)마크로젠,38290,17-Dec,101792522,15860662,71459329,12456778,6.417923918
(주)맘스터치앤컴퍼니,220630,16-Dec,201928721,12034540,201871094,12004701,16.77909758
(주)맘스터치앤컴퍼니,220630,17-Dec,239567842,12965014,223574323,11904674,18.47802417
(주)매직마이크로,127160,16-Dec,64824128,10328569,66119094,9352249,6.276196441
(주)매직마이크로,127160,17-Dec,77652131,10426581,63906772,6215306,7.447516209
